joint_pos, joint_vel_desired, joint_vel_filtered, current_time
6.32249e-05,0.00574229,-4.45854e-12,0.564
6.32249e-05,0.00582149,-2.47895e-12,0.568
6.32249e-05,0.00590121,-1.37829e-12,0.572
6.32249e-05,0.00598143,-7.66331e-13,0.576
6.32249e-05,0.00606215,-4.2608e-13,0.58
6.32249e-05,0.00614338,-2.36901e-13,0.584
6.32249e-05,0.00622511,-1.31717e-13,0.588
6.32249e-05,0.00630734,-7.32345e-14,0.592
6.32249e-05,0.00639008,-4.07184e-14,0.596
6.32249e-05,0.00647331,-2.26394e-14,0.6
6.32249e-05,0.00655705,-1.25875e-14,0.604
6.32249e-05,0.00664129,-6.99866e-15,0.608
6.32249e-05,0.00672602,-3.89126e-15,0.612
6.32249e-05,0.00681125,-2.16354e-15,0.616
6.32249e-05,0.00689698,-1.20293e-15,0.62
6.39159e-05,0.00698321,7.6699e-05,0.624
6.32249e-05,0.00706993,-3.40544e-05,0.628
6.32249e-05,0.00715714,-1.89342e-05,0.632
6.39159e-05,0.00724485,6.61716e-05,0.636
6.32249e-05,0.00733306,-3.99076e-05,0.64
6.32249e-05,0.00742175,-2.21886e-05,0.644
6.32249e-05,0.00751094,-1.23369e-05,0.648
6.32249e-05,0.00760062,-6.85931e-06,0.652
6.28794e-05,0.00769079,-4.21633e-05,0.656
6.32249e-05,0.00778145,1.49067e-05,0.66
6.32249e-05,0.0078726,8.28814e-06,0.664
6.32249e-05,0.00796423,4.60821e-06,0.668
6.32249e-05,0.00805636,2.56216e-06,0.672
6.32249e-05,0.00814897,1.42456e-06,0.676
6.28794e-05,0.00824206,-3.75575e-05,0.68
6.32249e-05,0.00833565,1.74676e-05,0.684
6.32249e-05,0.00842971,9.71197e-06,0.688
6.32249e-05,0.00852426,5.39985e-06,0.692
6.32249e-05,0.00861929,3.00232e-06,0.696
6.39159e-05,0.00871481,7.83683e-05,0.7
6.32249e-05,0.0088108,-3.31262e-05,0.704
6.32249e-05,0.00890728,-1.84182e-05,0.708
6.32249e-05,0.00900423,-1.02405e-05,0.712
6.32249e-05,0.00910167,-5.69373e-06,0.716
6.32249e-05,0.00919958,-3.16571e-06,0.72
6.32249e-05,0.00929798,-1.76014e-06,0.724
6.32249e-05,0.00939684,-9.78635e-07,0.728
6.28794e-05,0.00949619,-3.88936e-05,0.732
6.32249e-05,0.00959601,1.67247e-05,0.736
6.32249e-05,0.0096963,9.29891e-06,0.74
6.32249e-05,0.00979707,5.17019e-06,0.744
